kind,M,N,method,option,estimate,variance,ci_width
price,250,21000,MC,call,5.425378427211763,60.28543974466188,0.21003063056570426
price,250,21000,MC,digital,0.2934442446682394,0.19867159240691437,0.012057140065146132
delta,250,21000,malliavin_A,call,0.5756337507230889,55.5209824822199,0.20156029763238692
delta,250,21000,malliavin_A,digital,0.01018573695579718,0.17998984413957006,0.011476261090546638
delta,250,21000,malliavin_B,call,0.5574733428319113,1.758337865301372,0.03586968674665547
delta,250,21000,malliavin_B,digital,0.007775058201191069,0.0009639752862777331,0.0008398647804730005
delta,250,21000,FD_eps_1.0,call,0.5744735830740709,0.2781687485986433,0.014266931893061274
delta,250,21000,FD_eps_1.0,digital,0.00792530519064615,0.02867358470329277,0.0045805477525680365
price,250,23000,MC,call,5.465070815394371,61.033748788698915,0.2019329416659268
price,250,23000,MC,digital,0.2947622824943425,0.19917459708901455,0.01153557169331798
delta,250,23000,malliavin_A,call,0.5761698172019326,56.48268548894938,0.19425840458538857
delta,250,23000,malliavin_A,digital,0.009154299783500545,0.17985896800494586,0.010961959611292926
delta,250,23000,malliavin_B,call,0.5644977589146699,1.8022945290106112,0.03470044395818528
delta,250,23000,malliavin_B,digital,0.007767519444035097,0.0009671069833756187,0.0008038211121923974
delta,250,23000,FD_eps_1.0,call,0.5769679494686778,0.27812442197367576,0.013631439232789422
delta,250,23000,FD_eps_1.0,digital,0.008312076961263308,0.028799291788271925,0.004386448684078795
price,250,25000,MC,call,5.442160575864804,60.895942182778384,0.1934684890060847
price,250,25000,MC,digital,0.29326864023835914,0.19860269080953616,0.01104863500719555
delta,250,25000,malliavin_A,call,0.5754764824822376,56.44514535050616,0.18626418673636835
delta,250,25000,malliavin_A,digital,0.008226129599590883,0.17789658574138792,0.010456825704077626
delta,250,25000,malliavin_B,call,0.5623228407855673,1.7856440516973504,0.03312939525919667
delta,250,25000,malliavin_B,digital,0.007770607894742509,0.0009660767412177735,0.0007705873509537718
delta,250,25000,FD_eps_1.0,call,0.5747395988104825,0.27828076840555493,0.013078491655580393
delta,250,25000,FD_eps_1.0,digital,0.00822937812449135,0.028845602340814208,0.004210715206754727
price,250,27000,MC,call,5.458283260637075,61.15544638626042,0.18656138413400036
price,250,27000,MC,digital,0.2923197601611117,0.19823690554328488,0.01062175891366457
delta,250,27000,malliavin_A,call,0.595354219836637,56.757319863050974,0.1797277447144232
delta,250,27000,malliavin_A,digital,0.008093072311444955,0.17746627767364564,0.010049908437475493
delta,250,27000,malliavin_B,call,0.5649053205411076,1.8146160103644307,0.03213635040104368
delta,250,27000,malliavin_B,digital,0.007801693027530718,0.0009729736998157384,0.0007441401466183684
delta,250,27000,FD_eps_1.0,call,0.5746030278180533,0.27865046270664806,0.012593141093373283
delta,250,27000,FD_eps_1.0,digital,0.008087046112904233,0.028589716502055256,0.004033751216447529
price,250,29000,MC,call,5.454281448706679,60.86511005824613,0.17958550237153226
price,250,29000,MC,digital,0.2940115330261101,0.19888625563132079,0.010265720927256639
delta,250,29000,malliavin_A,call,0.5747728788206997,56.19058299303025,0.172551538977749
delta,250,29000,malliavin_A,digital,0.007967451056255112,0.17890431233434534,0.009736379035658826
delta,250,29000,malliavin_B,call,0.5631509377794223,1.8013487977441376,0.0308948417554058
delta,250,29000,malliavin_B,digital,0.007853631982959238,0.000976637799242085,0.000719372501422272
delta,250,29000,FD_eps_1.0,call,0.5754506817891075,0.278479080675933,0.01214740066604092
delta,250,29000,FD_eps_1.0,digital,0.008014541561547161,0.028506313838543795,0.0038864903987539806
price,250,31000,MC,call,5.4522577455697006,60.96179721625389,0.17383375082883212
price,250,31000,MC,digital,0.2941389107490897,0.19893451060489406,0.009930252349973911
delta,250,31000,malliavin_A,call,0.5762081965987678,56.35608662510706,0.16713816667231368
delta,250,31000,malliavin_A,digital,0.007247874517298699,0.17882678488520917,0.009415025580730462
delta,250,31000,malliavin_B,call,0.5630725348383193,1.8084759316659187,0.02994067497480324
